#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
2800,-301950.7933698769,61046.610997615964,-240904.18237226096,303.516296528051,0.9957489333630352
2900,-300532.02039802447,59739.88508365418,-240792.13531437027,297.0194148256678,0.9957489333630352
3000,-300636.2654574753,60255.012625978095,-240381.25283149723,299.5805660727347,0.9957489333630352
3100,-300252.4904189613,60482.108021461565,-239770.3823974997,300.70965665236423,0.9957489333630352
3200,-299659.76959926356,60454.19731740141,-239205.57228186214,300.57088803947335,0.9957489333630352
3300,-299834.0763324993,60664.41857685259,-239169.65775564668,301.616082474961,0.9957489333630352
3400,-299772.04320441047,60898.1184893141,-238873.92471509636,302.7780099066413,0.9957489333630352
3500,-298938.82838292094,60763.81471336784,-238175.0136695531,302.11026793016146,0.9957489333630352
3600,-298561.602943582,60708.75472615042,-237852.84821743157,301.8365163961449,0.9957489333630352
3700,-298602.8865508244,61018.634357470786,-237584.2521933536,303.37720008899566,0.9957489333630352
3800,-298579.5345918515,61385.57386067894,-237193.96073117258,305.2015784982726,0.9957489333630352
3900,-298493.00995816756,61304.7707610433,-237188.23919712426,304.7998353523615,0.9957489333630352
4000,-298421.7643758459,61151.28324920044,-237270.48112664546,304.03671418319993,0.9957489333630352
4100,-298496.9878794439,61029.82057907939,-237467.16730036453,303.43281661707647,0.9957489333630352
4200,-298292.09012877475,61126.99443805951,-237165.09569071524,303.9159531796964,0.9957489333630352
4300,-297837.1303911912,61264.40790701524,-236572.722484176,304.5991561701481,0.9957489333630352
4400,-297318.5144119798,61163.73634303687,-236154.77806894295,304.09862944532154,0.9957489333630352
4500,-297371.55418579374,61263.70746948401,-236107.84671630972,304.59567368026126,0.9957489333630352
4600,-297721.47777208313,62121.354138952214,-235600.12363313092,308.8597882083679,0.9957489333630352
4700,-297647.0127907889,62215.417750413646,-235431.59504037525,309.3274610000637,0.9957489333630352
4800,-297234.46912008803,62233.470046019414,-235000.99907406862,309.41721480976014,0.9957489333630352
4900,-297574.54138785833,62380.41371329245,-235194.12767456588,310.14780078267694,0.9957489333630352
5000,-297060.4149474995,61634.05222338438,-235426.36272411514,306.43698258022334,0.9957489333630352
5100,-296574.0757660279,61400.661197036155,-235173.41456899175,305.2765908925855,0.9957489333630352
5200,-297132.42317689117,62195.943135689246,-234936.48004120192,309.2306355933644,0.9957489333630352
5300,-297184.98148164153,62096.35166661066,-235088.62981503087,308.73547896850766,0.9957489333630352
5400,-296927.4443538189,62271.36134303198,-234656.0830107869,309.6056057122518,0.9957489333630352
5500,-296494.17229964305,61838.21191850724,-234655.9603811358,307.4520396579439,0.9957489333630352
5600,-296406.86009647977,62071.78606455312,-234335.07403192663,308.6133417943609,0.9957489333630352
5700,-296847.6276555797,62523.63815780007,-234323.98949777964,310.8598952340943,0.9957489333630352
5800,-296586.80344369076,62175.27024377126,-234411.5331999195,309.1278524987596,0.9957489333630352
5900,-296618.9513622797,62483.19501204591,-234135.7563502338,310.65881685122184,0.9957489333630352
6000,-295599.0553568974,61751.8205136091,-233847.23484328832,307.0225121405595,0.9957489333630352
6100,-295645.4637048999,62093.21543889941,-233552.24826600048,308.71988602723815,0.9957489333630352
