#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
2200,-117882.98861489852,21222.28784974225,-96660.70076515627,283.2595177334877,1.018537270733841
2300,-117914.40009087406,21673.926121865865,-96240.47396900819,289.287653816529,1.018537270733841
2400,-117575.58634086687,21865.6786931979,-95709.90764766897,291.8470263622335,1.018537270733841
2500,-117208.08807797899,21709.62565631373,-95498.46242166526,289.76414499328655,1.018537270733841
2600,-117321.17878171097,22040.77821832255,-95280.40056338842,294.1841262731073,1.018537270733841
2700,-117209.73690618214,22454.918739513494,-94754.81816666864,299.71176990592454,1.018537270733841
2800,-116772.35157112649,22236.513819851913,-94535.83775127458,296.79666138171746,1.018537270733841
2900,-116605.3370164152,22241.69144012616,-94363.64557628904,296.86576845595346,1.018537270733841
3000,-116444.31672722462,22217.38165884529,-94226.93506837933,296.54129934260527,1.018537270733841
3100,-116372.5623376441,22463.42475573672,-93909.13758190739,299.8253019657233,1.018537270733841
3200,-116057.38267720293,22215.2740999246,-93842.10857727833,296.5131691934104,1.018537270733841
3300,-116039.79008178686,22341.154709418304,-93698.63537236856,298.1933311528392,1.018537270733841
3400,-115556.28106814995,22220.97456712619,-93335.30650102376,296.58925484458103,1.018537270733841
3500,-115712.13505105348,22647.958712645108,-93064.17633840838,302.28832574569515,1.018537270733841
3600,-115832.0692717334,23050.042482770747,-92782.02678896266,307.6550447168373,1.018537270733841
3700,-115562.52195084689,22851.78295931773,-92710.73899152916,305.0088221513445,1.018537270733841
3800,-115390.68050199933,22859.979571335483,-92530.70093066385,305.1182245109598,1.018537270733841
3900,-115533.67223315628,23213.4948137966,-92320.17741935968,309.83668643174593,1.018537270733841
4000,-115116.35527910473,22807.754692621995,-92308.60058648273,304.42116517113686,1.018537270733841
4100,-115183.15590477514,22635.205419596634,-92547.9504851785,302.11810415299976,1.018537270733841
4200,-115282.2730087362,22816.539018788608,-92465.73398994759,304.53841190773693,1.018537270733841
4300,-115232.9348458745,22699.732961371075,-92533.20188450342,302.97937040727766,1.018537270733841
4400,-115392.64395352203,22945.998672269983,-92446.64528125204,306.26634431873396,1.018537270733841
4500,-115443.18103393842,22899.871910519432,-92543.30912341899,305.6506781671589,1.018537270733841
4600,-114991.89214431576,22759.18064332404,-92232.71150099172,303.77283442207164,1.018537270733841
4700,-115162.62647338898,22882.039266902604,-92280.58720648638,305.41266113211634,1.018537270733841
4800,-114995.08748297289,22785.480700827204,-92209.60678214568,304.1238682812604,1.018537270733841
4900,-114923.24421291344,22942.846656579757,-91980.39755633369,306.22427352737424,1.018537270733841
5000,-115290.43974646076,23109.34245028952,-92181.09729617124,308.4465371478093,1.018537270733841
5100,-115029.80928246223,22753.25997857179,-92276.54930389044,303.6938097356544,1.018537270733841
5200,-114844.26970983524,22837.884809325682,-92006.38490050955,304.82331984867056,1.018537270733841
5300,-114571.72250444826,22569.521595008468,-92002.2009094398,301.2414046846169,1.018537270733841
5400,-114909.05570037512,22879.02377993334,-92030.03192044178,305.3724126258906,1.018537270733841
5500,-114829.83488221728,22615.307800164446,-92214.52708205284,301.85252533678954,1.018537270733841
5600,-115061.24547465867,22932.16750102339,-92129.07797363529,306.0817359991815,1.018537270733841
5700,-115096.03683801775,23193.190420579922,-91902.84641743783,309.5656782976962,1.018537270733841
5800,-114486.7113567848,22686.87859069882,-91799.83276608598,302.80779970466676,1.018537270733841
5900,-114876.8291403635,23240.52019665041,-91636.30894371308,310.1974014012127,1.018537270733841
6000,-114882.70588487445,23108.072247365955,-91774.6336375085,308.4295834117135,1.018537270733841
6100,-115036.37925935711,23168.40687400347,-91867.97238535364,309.2348857130005,1.018537270733841
6200,-114804.12845155364,22954.699421831174,-91849.42902972247,306.3824755361631,1.018537270733841
6300,-114421.29997989966,22664.24322521966,-91757.05675468,302.5056794641562,1.018537270733841
6400,-114684.69856112206,22976.114964223234,-91708.58359689882,306.66831447364837,1.018537270733841
6500,-114458.0040581025,22857.791513269185,-91600.21254483331,305.0890199182683,1.018537270733841
6600,-114560.91960867017,23012.881411531765,-91548.0381971384,307.1590460199889,1.018537270733841
6700,-114628.63664100191,23110.67927901057,-91517.95736199134,308.46438015613603,1.018537270733841
6800,-114343.84175848204,22887.931299772114,-91455.91045870993,305.4913036611831,1.018537270733841
6900,-114574.0137932325,23140.66661546484,-91433.34717776766,308.8646291077236,1.018537270733841
7000,-114485.49767517403,22974.902153911768,-91510.59552126226,306.6521267720037,1.018537270733841
7100,-114649.10197453538,23289.19629587067,-91359.90567866471,310.8470942377202,1.018537270733841
7200,-114451.49491412228,23022.73200204526,-91428.76291207701,307.290524470286,1.018537270733841
7300,-114849.33904015517,23139.92685744469,-91709.41218271048,308.854755360769,1.018537270733841
7400,-114705.85487235349,23017.550379046035,-91688.30449330746,307.2213639706156,1.018537270733841
